wt, s, d, c, i1, i1ref, i1delta
1.663580568132608795e+00,1.000000000000000000e+00,1.820763004107154026e-01,1.813656519942625778e-01,9.921000577412548704e-01,9.316113634762462903e-01,1.087583403074571520e-01
1.663894558797034184e+00,0.000000000000000000e+00,1.820698011070505384e-01,1.853635053005042721e-01,9.945652236438432547e-01,9.315840984058018082e-01,1.112507712804900184e-01
1.727948654339820367e+00,0.000000000000000000e+00,1.824318921913882507e-01,9.990744202263002194e-01,8.753372488350219527e-01,9.241060073343690950e-01,-4.991124568985774723e-04
1.791688759218180937e+00,0.000000000000000000e+00,1.861237369332274516e-01,1.875101990593464052e-01,7.510842942771501773e-01,9.129020853582571204e-01,-1.135481450386583713e-01
1.792002749882606327e+00,1.000000000000000000e+00,1.861501299784179830e-01,1.835123457531047109e-01,7.504564424451281024e-01,9.128376728208950075e-01,-1.141115843333183333e-01
1.806446320446175813e+00,1.000000000000000000e+00,1.874509777402189603e-01,3.889063339883591652e-04,8.589677831903274052e-01,9.097775142691703065e-01,-2.540085036394336415e-03
1.821203881674170688e+00,1.000000000000000000e+00,1.889553292699862608e-01,1.882880117273231235e-01,9.719148498073345577e-01,9.064548103219957076e-01,1.137296855277874219e-01
1.821517872338596078e+00,0.000000000000000000e+00,1.889892586651892581e-01,1.922858650335648178e-01,9.743135060463202768e-01,9.063819670701570574e-01,1.162011850186117912e-01
1.884943986552531259e+00,0.000000000000000000e+00,1.974786364428423036e-01,9.998522328942769377e-01,8.404469180592621935e-01,8.898459560797969958e-01,-1.129391978086237425e-03
1.946800147444339490e+00,0.000000000000000000e+00,2.088694603712767106e-01,2.125706657762158613e-01,6.998231077580365778e-01,8.702718721307075578e-01,-1.221791183302224082e-01
1.947114138108764880e+00,1.000000000000000000e+00,2.089350497547430574e-01,2.085728124699741670e-01,6.990824437144085302e-01,8.701639509919661952e-01,-1.228118612351090932e-01
1.963441652658886705e+00,1.000000000000000000e+00,2.124531107553837006e-01,6.844405454344837381e-04,8.161231200194249968e-01,8.644340856556199659e-01,-4.131959374640420402e-05
1.980397148537859531e+00,1.000000000000000000e+00,2.163288792115068138e-01,2.151996379915885882e-01,9.392115763176628329e-01,8.582399546427592618e-01,1.292412677173521429e-01
1.980711139202284921e+00,0.000000000000000000e+00,2.164027827989268571e-01,2.191974912978267298e-01,9.414826541871106347e-01,8.581229160789112242e-01,1.316293841506479823e-01
2.041939318765242373e+00,0.000000000000000000e+00,2.322821770809114506e-01,9.987788860148540948e-01,7.854577387342542849e-01,8.336984075954898543e-01,2.897718121299547311e-05
2.100655573012796040e+00,0.000000000000000000e+00,2.502159947315548694e-01,2.536225457180520948e-01,6.224886065195229801e-01,8.073398206289328360e-01,-1.365815680669612842e-01
2.100969563677221430e+00,1.000000000000000000e+00,2.503189097043708178e-01,2.496246924118104005e-01,6.215813448608145109e-01,8.071913004567554673e-01,-1.373403095534923846e-01
2.120436984871597819e+00,1.000000000000000000e+00,2.568437137487630806e-01,1.757787424857326641e-03,7.511101805053628233e-01,7.978282143397069648e-01,1.551612208104423407e-03
2.141160368723675766e+00,1.000000000000000000e+00,2.640991777771361515e-01,2.621005307870625245e-01,8.895619723915714205e-01,7.875289032105199372e-01,1.503027152235000552e-01
2.141474359388101156e+00,0.000000000000000000e+00,2.642115498259049455e-01,2.660983840933006661e-01,8.916458874912618349e-01,7.873702407562052086e-01,1.525452927775051981e-01
2.199248641642378654e+00,0.000000000000000000e+00,2.861119916062144219e-01,9.982966075583270538e-01,7.086983900464385311e-01,7.568717457892735201e-01,9.629029961357588041e-05
2.253255035923551031e+00,0.000000000000000000e+00,3.087420339626954502e-01,3.106658388848515528e-01,5.227900365561692908e-01,7.260762264821660761e-01,-1.550165438835482135e-01
2.253569026587976420e+00,1.000000000000000000e+00,3.088795704304713174e-01,3.066679855786098585e-01,5.216676141800875577e-01,7.258909021939777828e-01,-1.559536419714416533e-01
2.277746307748734100e+00,1.000000000000000000e+00,3.196736614370911389e-01,1.166719001961524782e-03,6.661756408207155644e-01,7.114074208130766186e-01,3.037866050087510705e-03
2.303493542231618729e+00,1.000000000000000000e+00,3.316061935420865359e-01,3.289906901137342743e-01,8.188312518983617005e-01,6.955264537990930584e-01,1.715744441417172139e-01
2.303807532896044119e+00,0.000000000000000000e+00,3.317544660434855186e-01,3.329885434199759686e-01,8.206716078895618383e-01,6.953299161778948578e-01,1.736113377541155522e-01
