wt, s, d, c
5.131187736778630715e-01,0.000000000000000000e+00,1.633307784481668468e-01,1.665389224083408948e-01
5.655552146369086097e-01,0.000000000000000000e+00,1.800218160017236779e-01,9.989091999138164368e-01
6.157937209449760863e-01,0.000000000000000000e+00,1.960132292266882903e-01,1.993385386655859293e-01
6.161077116094014761e-01,1.000000000000000000e+00,1.961131755593443216e-01,1.943412220327846995e-01
6.283533475219930109e-01,1.000000000000000000e+00,2.000110825329294573e-01,5.541266464721417151e-04
6.409129740990098245e-01,1.000000000000000000e+00,2.040089358391705965e-01,2.004467919585284363e-01
6.412269647634352143e-01,0.000000000000000000e+00,2.041088821718266277e-01,2.054441085913296661e-01
6.911514804070773010e-01,0.000000000000000000e+00,2.200003490641352089e-01,9.999825467932410561e-01
7.391920520641669379e-01,0.000000000000000000e+00,2.352921379605076579e-01,2.353931019746173803e-01
7.395060427285923277e-01,1.000000000000000000e+00,2.353920842931636614e-01,2.303957853418179269e-01
7.539496132921617022e-01,1.000000000000000000e+00,2.399896155953409882e-01,5.192202329507011882e-04
7.693351558490073572e-01,1.000000000000000000e+00,2.448869858954864087e-01,2.443492947743184374e-01
7.696491465134328580e-01,0.000000000000000000e+00,2.449869322281424400e-01,2.493466114071214434e-01
8.167477461772461034e-01,0.000000000000000000e+00,2.599788821265467953e-01,9.989441063273378774e-01
8.622763925189322887e-01,0.000000000000000000e+00,2.744711003616709388e-01,2.764449819164536137e-01
8.625903831833576785e-01,1.000000000000000000e+00,2.745710466943269701e-01,2.714476652836523840e-01
8.795458790623305045e-01,1.000000000000000000e+00,2.799681486577525469e-01,1.592567112373544091e-03
8.974433469345795000e-01,1.000000000000000000e+00,2.856650896191461619e-01,2.832544809573072087e-01
8.977573375990050009e-01,0.000000000000000000e+00,2.857650359518022487e-01,2.882517975901102147e-01
9.423440119474149057e-01,0.000000000000000000e+00,2.999574151889583540e-01,9.978707594479150345e-01
9.853607329736976395e-01,0.000000000000000000e+00,3.136500627628342475e-01,3.174968618582880708e-01
9.856747236381230293e-01,1.000000000000000000e+00,3.137500090954902787e-01,3.124995452254868411e-01
1.005456135496924475e+00,1.000000000000000000e+00,3.200466280528200813e-01,2.331402641001290021e-03
1.025551538020151643e+00,1.000000000000000000e+00,3.264431933428059707e-01,3.221596671402977563e-01
1.025865528684577033e+00,0.000000000000000000e+00,3.265431396754619464e-01,3.271569837730972097e-01
1.068254268382008876e+00,0.000000000000000000e+00,3.400358945840258329e-01,9.982052707987101314e-01
1.108759064092888380e+00,0.000000000000000000e+00,3.529289714966535874e-01,3.535514251673212982e-01
1.109073054757313770e+00,1.000000000000000000e+00,3.530289178293096186e-01,3.485541085345218448e-01
1.131052401267093277e+00,1.000000000000000000e+00,3.600251611152315845e-01,1.258055761578447118e-03
1.153973719770149176e+00,1.000000000000000000e+00,3.673212433991217551e-01,3.660621699560842046e-01
1.154287710434574565e+00,0.000000000000000000e+00,3.674211897317777864e-01,3.710594865888872107e-01
1.193850534152177678e+00,0.000000000000000000e+00,3.800144276464373916e-01,9.992786176781329743e-01
1.231843404547653842e+00,0.000000000000000000e+00,3.921079338978168960e-01,3.946033051091575317e-01
1.232157395212079232e+00,1.000000000000000000e+00,3.922078802304729273e-01,3.896059884763545256e-01
1.256648667037262079e+00,1.000000000000000000e+00,4.000036941776431432e-01,1.847088821556042149e-04
1.282081910855721318e+00,1.000000000000000000e+00,4.080993471227815084e-01,4.049673561390747523e-01
1.282395901520146708e+00,0.000000000000000000e+00,4.081992934554375396e-01,4.099646727718742056e-01
1.319446799922346480e+00,0.000000000000000000e+00,4.199929607088489503e-01,9.996480354424441828e-01
1.354927745002419082e+00,0.000000000000000000e+00,4.312868962989802046e-01,4.356551850509937651e-01
1.355241735666844471e+00,1.000000000000000000e+00,4.313868426316361804e-01,4.306578684181907590e-01
1.382244932807430882e+00,1.000000000000000000e+00,4.399822272400547019e-01,8.886379972672386884e-04
1.410504092605718851e+00,1.000000000000000000e+00,4.489773971790973484e-01,4.488698589548647533e-01
1.410818083270144241e+00,0.000000000000000000e+00,4.490773435117533241e-01,4.538671755876642067e-01
1.445043065692515283e+00,0.000000000000000000e+00,4.599714937712605090e-01,9.985746885630248926e-01
1.478326076121609933e+00,0.000000000000000000e+00,4.705658050327995445e-01,4.717097483600234398e-01
1.478640066786035323e+00,1.000000000000000000e+00,4.706657513654555758e-01,4.667124317272239864e-01
1.507841198577599684e+00,1.000000000000000000e+00,4.799607603024662605e-01,1.961984876686528878e-03
1.538612283691290994e+00,1.000000000000000000e+00,4.897555009027571016e-01,4.877750451378517482e-01
1.538926274355716384e+00,0.000000000000000000e+00,4.898554472354131328e-01,4.927723617706547543e-01
1.570639331462684085e+00,0.000000000000000000e+00,4.999500268336720676e-01,9.975013416836020497e-01
1.601410416576375395e+00,0.000000000000000000e+00,5.097447674339629087e-01,5.127616283018596732e-01
1.601724407240800785e+00,1.000000000000000000e+00,5.098447137666188844e-01,5.077643116690566671e-01
1.633751455012193876e+00,1.000000000000000000e+00,5.200392396975338505e-01,1.961984876690081592e-03
1.666720474776863137e+00,1.000000000000000000e+00,5.305336046264168548e-01,5.266802313208422959e-01
1.667034465441288527e+00,0.000000000000000000e+00,5.306335509590729416e-01,5.316775479536417492e-01
1.696549587897278055e+00,0.000000000000000000e+00,5.400285062287395466e-01,9.985746885630248926e-01
1.724494757031140635e+00,0.000000000000000000e+00,5.489237298351261618e-01,5.538135082436959067e-01
1.724808747695566025e+00,1.000000000000000000e+00,5.490236761677821375e-01,5.488161916108929006e-01
1.759347720782362456e+00,1.000000000000000000e+00,5.600177727599453537e-01,8.886379972636859748e-04
1.795142656526860669e+00,1.000000000000000000e+00,5.714116546827326948e-01,5.705827341366322969e-01
1.795456647191286059e+00,0.000000000000000000e+00,5.715116010153886705e-01,5.755800507694317503e-01
1.822145853667446858e+00,0.000000000000000000e+00,5.800070392911511608e-01,9.996480354424477355e-01
1.847893088150331486e+00,0.000000000000000000e+00,5.882026385689455017e-01,5.898680715527291341e-01
1.848207078814756876e+00,1.000000000000000000e+00,5.883025849016014774e-01,5.848707549199261280e-01
1.884943986552531259e+00,1.000000000000000000e+00,5.999963058223568568e-01,1.847088821591569285e-04
1.923250847612432812e+00,1.000000000000000000e+00,6.121897584063924480e-01,6.094879203196192918e-01
1.923564838276858202e+00,0.000000000000000000e+00,6.122897047390484238e-01,6.144852369524222979e-01
1.947742119437615660e+00,0.000000000000000000e+00,6.199855723535626639e-01,9.992786176781329743e-01
1.970977428605096948e+00,0.000000000000000000e+00,6.273816009701088658e-01,6.309199514945618148e-01
1.971291419269522338e+00,1.000000000000000000e+00,6.274815473027648416e-01,6.259226348617588087e-01
2.010540252322699839e+00,1.000000000000000000e+00,6.399748388847683600e-01,1.258055761581999832e-03
2.051359038698004955e+00,1.000000000000000000e+00,6.529678621300522012e-01,6.483931065026098395e-01
2.051673029362430345e+00,0.000000000000000000e+00,6.530678084627082880e-01,6.533904231354128456e-01
2.073338385207784462e+00,0.000000000000000000e+00,6.599641054159742781e-01,9.982052707987065787e-01
