wt, s, d, c
1.570953322127109475e+00,0.000000000000000000e+00,5.000499731663280434e-01,5.012493291582007515e-01
1.633437464347768264e+00,0.000000000000000000e+00,5.199392933648777637e-01,9.984823341219435378e-01
1.633751455012193876e+00,1.000000000000000000e+00,5.200392396975338505e-01,9.809924383450407959e-04
1.701573438528084958e+00,1.000000000000000000e+00,5.416276475512360467e-01,5.406911887809009443e-01
1.701887429192510348e+00,0.000000000000000000e+00,5.417275938838921334e-01,5.431898470973006710e-01
1.759033730117937067e+00,0.000000000000000000e+00,5.599178264272893779e-01,9.979456606822321163e-01
1.759347720782362456e+00,1.000000000000000000e+00,5.600177727599453537e-01,4.443189986318429874e-04
1.832507545593485832e+00,1.000000000000000000e+00,5.833052682688001367e-01,5.826317067200008637e-01
1.832821536257911221e+00,0.000000000000000000e+00,5.834052146014561124e-01,5.851303650364023667e-01
1.884943986552531259e+00,0.000000000000000000e+00,5.999963058223568568e-01,9.999076455589204215e-01
1.885257977216956649e+00,1.000000000000000000e+00,6.000962521550129436e-01,2.406303875321924579e-03
1.963441652658886705e+00,1.000000000000000000e+00,6.249828889863641157e-01,6.245722246591007831e-01
1.963755643323312094e+00,0.000000000000000000e+00,6.250828353190200914e-01,6.270708829755022862e-01
2.010540252322699839e+00,0.000000000000000000e+00,6.399748388847683600e-01,9.993709721192090001e-01
2.010854242987125673e+00,1.000000000000000000e+00,6.400747852174245578e-01,1.869630435614055841e-03
2.094375759724287800e+00,1.000000000000000000e+00,6.666605097039282057e-01,6.665127425982042553e-01
2.094689750388713190e+00,0.000000000000000000e+00,6.667604560365841815e-01,6.690114009146022056e-01
2.136136518092868641e+00,0.000000000000000000e+00,6.799533719471799742e-01,9.988342986794975786e-01
2.136450508757294031e+00,1.000000000000000000e+00,6.800533182798359499e-01,1.332956995899081676e-03
2.224995876125263283e+00,1.000000000000000000e+00,7.082381840888362090e-01,7.059546022209026717e-01
2.225309866789688673e+00,0.000000000000000000e+00,7.083381304214921848e-01,7.084532605373041747e-01
2.261732783863037444e+00,0.000000000000000000e+00,7.199319050095914774e-01,9.982976252397861572e-01
2.262046774527462834e+00,1.000000000000000000e+00,7.200318513422475641e-01,7.962835561876602242e-04
2.355929983190664156e+00,1.000000000000000000e+00,7.499158048064001880e-01,7.478951201600025911e-01
2.356243973855089546e+00,0.000000000000000000e+00,7.500157511390562748e-01,7.503937784764040941e-01
2.387329049633206246e+00,0.000000000000000000e+00,7.599104380720030916e-01,9.977609518000747357e-01
2.387643040297631636e+00,1.000000000000000000e+00,7.600103844046590673e-01,2.596101164762387725e-04
2.486864090256065030e+00,1.000000000000000000e+00,7.915934255239641670e-01,7.898356380991025105e-01
2.487178080920490419e+00,0.000000000000000000e+00,7.916933718566202538e-01,7.923342964155040136e-01
2.513239306067800438e+00,0.000000000000000000e+00,7.999889174670706815e-01,9.997229366767648173e-01
2.513553296732225828e+00,1.000000000000000000e+00,8.000888637997266573e-01,2.221594993166320364e-03
2.617798197321465903e+00,1.000000000000000000e+00,8.332710462415282571e-01,8.317761560382024300e-01
2.618112187985891293e+00,0.000000000000000000e+00,8.333709925741842328e-01,8.342748143546039330e-01
2.638835571837969241e+00,0.000000000000000000e+00,8.399674505294821847e-01,9.991862632370533959e-01
2.639149562502394630e+00,1.000000000000000000e+00,8.400673968621381604e-01,1.684921553454898913e-03
2.748732304386866776e+00,1.000000000000000000e+00,8.749486669590922361e-01,8.737166739773059021e-01
2.749046295051292166e+00,0.000000000000000000e+00,8.750486132917483229e-01,8.762153322937038524e-01
2.764431837608138043e+00,0.000000000000000000e+00,8.799459835918937989e-01,9.986495897973419744e-01
2.764745828272563433e+00,1.000000000000000000e+00,8.800459299245497746e-01,1.148248113743477461e-03
2.879666411452268093e+00,1.000000000000000000e+00,9.166262876766564371e-01,9.156571919164093742e-01
2.879980402116693483e+00,0.000000000000000000e+00,9.167262340093124129e-01,9.181558502328073246e-01
2.890028103378306845e+00,0.000000000000000000e+00,9.199245166543053021e-01,9.981129163576305530e-01
2.890342094042732235e+00,1.000000000000000000e+00,9.200244629869612778e-01,6.115746740320560093e-04
3.010600518517668966e+00,1.000000000000000000e+00,9.583039083942204162e-01,9.575977098555092937e-01
3.010914509182094356e+00,0.000000000000000000e+00,9.584038547268763919e-01,9.600963681719072440e-01
3.015624369148475648e+00,0.000000000000000000e+00,9.599030497167169163e-01,9.975762429179191315e-01
3.015938359812901037e+00,1.000000000000000000e+00,9.600029960493728920e-01,7.490123432063455766e-05
3.140592653589793226e+00,1.000000000000000000e+00,9.996816901138162459e-01,9.920422528454047040e-01
