I_out, gain, alpha, beta
4.143137172068005469e-01,5.904274515719286631e-01,6.315883584748079871e-01,2.920166910406676308e+00
4.306071854300346224e-01,5.828667943073282398e-01,6.222523130757632304e-01,2.951799159432835662e+00
4.473093234321319223e-01,5.752808393598458636e-01,6.129474494954874064e-01,2.983431408458995460e+00
4.644226169094058942e-01,5.676712249279249889e-01,6.036743475848935780e-01,3.015063657485154813e+00
4.819493329103883283e-01,5.600395989009523401e-01,5.944335970970242577e-01,3.046695906511314611e+00
4.998915134279870998e-01,5.523876186982251690e-01,5.852257979099052543e-01,3.078328155537473965e+00
5.182509689754684068e-01,5.447169511107945450e-01,5.760515602535316582e-01,3.109960404563633318e+00
5.370292721463154617e-01,5.370292721463150176e-01,5.669115049410093921e-01,3.141592653589793116e+00
5.370292721463150176e-01,5.370292721463151286e-01,5.669115049410093921e-01,3.141592653589793116e+00
5.455554623470028064e-01,5.335349379292999572e-01,5.770517556668062209e-01,3.141592653589793116e+00
5.540255564599179117e-01,5.299857436205553940e-01,5.871920063926030497e-01,3.141592653589793116e+00
5.624386835577659394e-01,5.263820541617403315e-01,5.973322571183998786e-01,3.141592653589793116e+00
5.707939785708177061e-01,5.227242400979124071e-01,6.074725078441967074e-01,3.141592653589793116e+00
5.790905823758587534e-01,5.190126775394269254e-01,6.176127585699935363e-01,3.141592653589793116e+00
5.873276418845281288e-01,5.152477481232635714e-01,6.277530092957904762e-01,3.141592653589793116e+00
5.955043101310355524e-01,5.114298389737860218e-01,6.378932600215873050e-01,3.141592653589793116e+00
6.036197463592503087e-01,5.075593426629350091e-01,6.480335107473841338e-01,3.141592653589793116e+00
6.116731161091507607e-01,5.036366571698634997e-01,6.581737614731809627e-01,3.141592653589793116e+00
6.196635913026264930e-01,4.996621858400145388e-01,6.683140121989777915e-01,3.141592653589793116e+00
6.275903503286247576e-01,4.956363373436481479e-01,6.784542629247746204e-01,3.141592653589793116e+00
6.354525781276312291e-01,4.915595256338198271e-01,6.885945136505714492e-01,3.141592653589793116e+00
6.432494662754781878e-01,4.874321699038166589e-01,6.987347643763682781e-01,3.141592653589793116e+00
6.509802130664690267e-01,4.832546945440538977e-01,7.088750151021651069e-01,3.141592653589793116e+00
6.586440235958133105e-01,4.790275290984379875e-01,7.190152658279620468e-01,3.141592653589793116e+00
6.662401098413613942e-01,4.747511082201990584e-01,7.291555165537588756e-01,3.141592653589793116e+00
6.737676907446322749e-01,4.704258716271979002e-01,7.392957672795557045e-01,3.141592653589793116e+00
