wt, s, d, c, i1, i1ref
1.382244932807430882e+00,1.000000000000000000e+00,2.530533713847314958e-01,8.886379972672386884e-04,7.894316477099089235e-01,7.961731550686972358e-01
1.397944466028701926e+00,1.000000000000000000e+00,2.501702071843996400e-01,2.489771936428049059e-01,9.981789229839570510e-01,7.984600799871204302e-01
1.398258456693127316e+00,0.000000000000000000e+00,2.501144266789075976e-01,2.539745102756079120e-01,9.968427185995903939e-01,7.985038129559346443e-01
1.445043065692515283e+00,0.000000000000000000e+00,2.426321936828199632e-01,9.985746885630248926e-01,8.000748790640775931e-01,8.041380626747091087e-01
1.493083637349604809e+00,0.000000000000000000e+00,2.366739855167175888e-01,2.368358666183567607e-01,6.018676599247643200e-01,8.080922060343157520e-01
1.493397628014030198e+00,1.000000000000000000e+00,2.366408238485409044e-01,2.318385499855573073e-01,6.060989240658389843e-01,8.081119242954194481e-01
1.507841198577599684e+00,1.000000000000000000e+00,2.351967944015771472e-01,1.961984876686528878e-03,8.008414648221940935e-01,8.089328090265112126e-01
1.522598759805594337e+00,1.000000000000000000e+00,2.338861633987976418e-01,2.329118968649765975e-01,1.000000000000000000e+00,8.095972412880175773e-01
1.522912750470019949e+00,0.000000000000000000e+00,2.338600894036532152e-01,2.379092134977831563e-01,9.987219446632038533e-01,8.096094629842711665e-01
1.570639331462684085e+00,0.000000000000000000e+00,2.307764861874316287e-01,9.975013416836020497e-01,8.049520602011673853e-01,8.105384917492334251e-01
1.618993893784199001e+00,0.000000000000000000e+00,2.294388795260560165e-01,2.329118968649765975e-01,6.086260010728867798e-01,8.095972412880175773e-01
1.619307884448624391e+00,1.000000000000000000e+00,2.294360791767264818e-01,2.279145802321771441e-01,6.128649779049688551e-01,8.095849397734614650e-01
1.633751455012193876e+00,1.000000000000000000e+00,2.293893896992335035e-01,1.961984876690081592e-03,8.077810572915068432e-01,8.089328090265112126e-01
1.647881034911337750e+00,1.000000000000000000e+00,2.294992706184609821e-01,2.268412333527543012e-01,9.982880357643861835e-01,8.081315628846581500e-01
1.648195025575763140e+00,0.000000000000000000e+00,2.295034596930575210e-01,2.318385499855537546e-01,9.970021393333512449e-01,8.081119242954194481e-01
1.696549587897278055e+00,0.000000000000000000e+00,2.310547707425629760e-01,9.985746885630248926e-01,7.974882166722129240e-01,8.041380626747091087e-01
1.744276168889942191e+00,0.000000000000000000e+00,2.343486671519884323e-01,2.389825603772059992e-01,5.966808875606314233e-01,7.983723778929465720e-01
1.744590159554367803e+00,1.000000000000000000e+00,2.343761214947123195e-01,2.339852437443994404e-01,6.008609253342371836e-01,7.983284087762332337e-01
1.759347720782362456e+00,1.000000000000000000e+00,2.357515719928816589e-01,8.886379972636859748e-04,7.970554227234593059e-01,7.961731550686972358e-01
1.774105282010357332e+00,1.000000000000000000e+00,2.372934617830265713e-01,2.357625197389339178e-01,9.926977315784583089e-01,7.938445094491028975e-01
1.774419272674782722e+00,0.000000000000000000e+00,2.373280738593089856e-01,2.407598363717333712e-01,9.913368618728670700e-01,7.937930836009111646e-01
1.822145853667446858e+00,0.000000000000000000e+00,2.434612772052389129e-01,9.996480354424477355e-01,7.811096853390263606e-01,7.850694863406894042e-01
1.868930462666834824e+00,0.000000000000000000e+00,2.511458028517395968e-01,2.550478571550307549e-01,5.676056277360111979e-01,7.747825897631763770e-01
1.869244453331260214e+00,1.000000000000000000e+00,2.512029338937622480e-01,2.500505405222277489e-01,5.716619882651775564e-01,7.747077950156284754e-01
1.884943986552531259e+00,1.000000000000000000e+00,2.541534923342837482e-01,1.847088821591569285e-04,7.739718660330449085e-01,7.708708305911974312e-01
1.900957510438227915e+00,1.000000000000000000e+00,2.573524373479048055e-01,2.546784393907195465e-01,9.792665930983199818e-01,7.667613989643886629e-01
1.901271501102653305e+00,0.000000000000000000e+00,2.574170681404768235e-01,2.596757560235189999e-01,9.777637536128550577e-01,7.666788529170529554e-01
1.947742119437615660e+00,0.000000000000000000e+00,2.677860653570025562e-01,9.992786176781329743e-01,7.503606590518417940e-01,7.536331633179729206e-01
1.992956775114876455e+00,0.000000000000000000e+00,2.793924649562047335e-01,2.811077871984615228e-01,5.188000600252730132e-01,7.393779748299942334e-01
1.993270765779301845e+00,1.000000000000000000e+00,2.794782440405270130e-01,2.761104705656585168e-01,5.226708878621706411e-01,7.392736609199598297e-01
2.010540252322699839e+00,1.000000000000000000e+00,2.843052524490476962e-01,1.258055761581999832e-03,7.347141469861280250e-01,7.334244407432601864e-01
2.028751710859374668e+00,1.000000000000000000e+00,2.896267437392412436e-01,2.885863089409070881e-01,9.564626001761635798e-01,7.270192587430426290e-01
2.029065701523800058e+00,0.000000000000000000e+00,2.897205647714550247e-01,2.935836255737100942e-01,9.547515142056309800e-01,7.269067039410118669e-01
2.073338385207784462e+00,0.000000000000000000e+00,3.036459298595348688e-01,9.982052707987065787e-01,7.074104803331753288e-01,7.103243319093259789e-01
2.116041115569641917e+00,0.000000000000000000e+00,3.183707644121054336e-01,3.221596671402906509e-01,4.567607203091388901e-01,6.930107125893550934e-01
2.116355106234067307e+00,1.000000000000000000e+00,3.184836721913435476e-01,3.171623505074947502e-01,4.603886246304763064e-01,6.928786869663624559e-01
2.136136518092868641e+00,1.000000000000000000e+00,3.257318506490354260e-01,2.331402641004842735e-03,6.875373904190459351e-01,6.844239045984238379e-01
2.157173892609371979e+00,1.000000000000000000e+00,3.337296575765889006e-01,3.324888117566899837e-01,9.259967265413511228e-01,6.751385346474760851e-01
2.157487883273797369e+00,0.000000000000000000e+00,3.338512700951035139e-01,3.374861283894929898e-01,9.240138455236606152e-01,6.749976736253042731e-01
2.199248641642378654e+00,0.000000000000000000e+00,3.506061848947168436e-01,9.978707594479132581e-01,6.535796423174118353e-01,6.556756788534148228e-01
2.238811465359981767e+00,0.000000000000000000e+00,3.675242834974740136e-01,3.682088637149334431e-01,3.846078472840233631e-01,6.363154329277900256e-01
2.239125456024407157e+00,1.000000000000000000e+00,3.676625492626273140e-01,3.632115470821304370e-01,3.879387615050127747e-01,6.361577559426627726e-01
2.262046774527462834e+00,1.000000000000000000e+00,3.779234453924851245e-01,1.592567112375320448e-03,6.288434928176913630e-01,6.244789475372644061e-01
2.286224055688220513e+00,1.000000000000000000e+00,3.891006418848211856e-01,3.863859478380859969e-01,8.780393615369631588e-01,6.118047919399158818e-01
2.286538046352645903e+00,0.000000000000000000e+00,3.892481634515763123e-01,3.913832644708890030e-01,8.757247291222586272e-01,6.116378239704263198e-01
2.324844907412547457e+00,0.000000000000000000e+00,4.076931243020984752e-01,9.989441063273361010e-01,5.866830329837092739e-01,5.908203268324092594e-01
2.360639843157045448e+00,0.000000000000000000e+00,4.257145745344971255e-01,4.292500101879710428e-01,3.043333401543765748e-01,5.705838189960722451e-01
2.360953833821470838e+00,1.000000000000000000e+00,4.258759471218472870e-01,4.242526935551680367e-01,3.073199634506986189e-01,5.704030329156678514e-01
2.387643040297631636e+00,1.000000000000000000e+00,4.397978603307515222e-01,5.192202329524775450e-04,5.576921421182479133e-01,5.548325094444702676e-01
2.415902200095919827e+00,1.000000000000000000e+00,4.549734066456381232e-01,4.502777171850809168e-01,8.151376876009843730e-01,5.379155695662927172e-01
2.416216190760345217e+00,0.000000000000000000e+00,4.551444913377369339e-01,4.552750338178839229e-01,8.124360494109026387e-01,5.377251653827328504e-01
2.450441173182716259e+00,0.000000000000000000e+00,4.741110866673970414e-01,9.999825467932410561e-01,5.119197679107724275e-01,5.166573704936564537e-01
2.482154230289683738e+00,0.000000000000000000e+00,4.922359236688340633e-01,4.952884732938116485e-01,2.225780597756709112e-01,4.965951479478038499e-01
2.482468220954109128e+00,1.000000000000000000e+00,4.924179608799900687e-01,4.902911566610157479e-01,2.251771725857304174e-01,4.963939816493216362e-01
2.513239306067800438e+00,1.000000000000000000e+00,5.104975299483069939e-01,5.541266464703653583e-04,4.747396229974960580e-01,4.764454081991087442e-01
