I_out, i_1_THD, lamba
9.747133013149064107e-01,2.249199096431300435e-02,1.809126695330588175e-01
9.790865339602310424e-01,2.039070514005715540e-02,1.647443920868505440e-01
9.830488236854605377e-01,1.830298385066912725e-02,1.484950408197868998e-01
9.865985074354371998e-01,1.623294021072683307e-02,1.321756566518881293e-01
9.897340953342871339e-01,1.417602194396005641e-02,1.157927699408406175e-01
9.924542713107513681e-01,1.212874544195464283e-02,9.935341885554413444e-02
9.947578936505684366e-01,1.009301169684465385e-02,8.286742811002037468e-02
9.966439954756756148e-01,8.064984918082378218e-03,6.634160476970554776e-02
9.981117851500279636e-01,6.042643774287918823e-03,4.978368302304941873e-02
9.991606466118637675e-01,4.026002917414998883e-03,3.320245437874896205e-02
9.997901396322790291e-01,2.012220502618571223e-03,1.660519831616346503e-02
1.000000000000000000e+00,8.111967700757406234e-15,6.123233995736766036e-17
