I_out, gain, alpha, beta
5.370292721463150176e-01,5.370292721463151286e-01,1.804535366140541941e-01,1.000000000000000000e+00
5.455554623470028064e-01,5.335349379292999572e-01,1.836812786684576815e-01,1.000000000000000000e+00
5.540255564599179117e-01,5.299857436205553940e-01,1.869090207228611689e-01,1.000000000000000000e+00
5.624386835577659394e-01,5.263820541617403315e-01,1.901367627772646562e-01,1.000000000000000000e+00
5.707939785708177061e-01,5.227242400979124071e-01,1.933645048316681436e-01,1.000000000000000000e+00
5.790905823758587534e-01,5.190126775394269254e-01,1.965922468860716310e-01,1.000000000000000000e+00
5.873276418845281288e-01,5.152477481232635714e-01,1.998199889404751739e-01,1.000000000000000000e+00
5.955043101310355524e-01,5.114298389737860218e-01,2.030477309948786613e-01,1.000000000000000000e+00
6.036197463592503087e-01,5.075593426629350091e-01,2.062754730492821487e-01,1.000000000000000000e+00
6.116731161091507607e-01,5.036366571698634997e-01,2.095032151036856360e-01,1.000000000000000000e+00
6.196635913026264930e-01,4.996621858400145388e-01,2.127309571580891234e-01,1.000000000000000000e+00
6.275903503286247576e-01,4.956363373436481479e-01,2.159586992124926108e-01,1.000000000000000000e+00
6.354525781276312291e-01,4.915595256338198271e-01,2.191864412668960982e-01,1.000000000000000000e+00
6.432494662754781878e-01,4.874321699038166589e-01,2.224141833212995856e-01,1.000000000000000000e+00
6.509802130664690267e-01,4.832546945440538977e-01,2.256419253757030730e-01,1.000000000000000000e+00
6.586440235958133105e-01,4.790275290984379875e-01,2.288696674301066158e-01,1.000000000000000000e+00
6.662401098413613942e-01,4.747511082201990584e-01,2.320974094845101032e-01,1.000000000000000000e+00
6.737676907446322749e-01,4.704258716271979002e-01,2.353251515389135906e-01,1.000000000000000000e+00
6.812259922911247934e-01,4.660522640567131281e-01,2.385528935933170780e-01,1.000000000000000000e+00
6.886142475899046378e-01,4.616307352197109859e-01,2.417806356477205654e-01,1.000000000000000000e+00
6.959316969524592666e-01,4.571617397546046679e-01,2.450083777021240528e-01,1.000000000000000000e+00
7.031775879708118682e-01,4.526457371805066576e-01,2.482361197565275401e-01,1.000000000000000000e+00
7.103511755948864748e-01,4.480831918499792454e-01,2.514638618109310553e-01,1.000000000000000000e+00
7.174517222091174595e-01,4.434745729012878335e-01,2.546916038653345149e-01,1.000000000000000000e+00
7.244784977082935340e-01,4.388203542101626886e-01,2.579193459197380300e-01,1.000000000000000000e+00
7.314307795726301409e-01,4.341210143410728084e-01,2.611470879741414897e-01,1.000000000000000000e+00
7.383078529420613600e-01,4.293770364980184495e-01,2.643748300285450048e-01,1.000000000000000000e+00
7.451090106897451104e-01,4.245889084748462050e-01,2.676025720829484644e-01,1.000000000000000000e+00
7.518335534947720999e-01,4.197571226050920146e-01,2.708303141373519796e-01,1.000000000000000000e+00
7.584807899140728615e-01,4.148821757113578257e-01,2.740580561917554392e-01,1.000000000000000000e+00
7.650500364535146591e-01,4.099645690542259024e-01,2.772857982461589543e-01,1.000000000000000000e+00
7.715406176381808256e-01,4.050048082807181093e-01,2.805135403005624695e-01,1.000000000000000000e+00
7.779518660818256492e-01,4.000034033723025573e-01,2.837412823549659846e-01,1.000000000000000000e+00
7.842831225554977026e-01,3.949608685924557716e-01,2.869690244093694442e-01,1.000000000000000000e+00
7.905337360553239545e-01,3.898777224337842684e-01,2.901967664637729594e-01,1.000000000000000000e+00
7.967030638694490019e-01,3.847544875647108120e-01,2.934245085181764745e-01,1.000000000000000000e+00
8.027904716441205402e-01,3.795916907757319048e-01,2.966522505725799341e-01,1.000000000000000000e+00
8.087953334489165202e-01,3.743898629252512822e-01,2.998799926269834493e-01,1.000000000000000000e+00
8.147170318411053325e-01,3.691495388849946879e-01,3.031077346813869089e-01,1.000000000000000000e+00
8.205549579291340212e-01,3.638712574850125892e-01,3.063354767357904240e-01,1.000000000000000000e+00
8.263085114352364258e-01,3.585555614582756623e-01,3.095632187901938837e-01,1.000000000000000000e+00
8.319771007571561405e-01,3.532029973848686555e-01,3.127909608445973988e-01,1.000000000000000000e+00
8.375601430289774108e-01,3.478141156357891783e-01,3.160187028990009139e-01,1.000000000000000000e+00
8.430570641810576360e-01,3.423894703163564146e-01,3.192464449534043736e-01,1.000000000000000000e+00
8.484672989990552638e-01,3.369296192092360309e-01,3.224741870078078887e-01,1.000000000000000000e+00
8.537902911820473006e-01,3.314351237170863329e-01,3.257019290622113483e-01,1.000000000000000000e+00
8.590254933997304443e-01,3.259065488048333292e-01,3.289296711166148635e-01,1.000000000000000000e+00
8.641723673486995105e-01,3.203444629415787004e-01,3.321574131710183231e-01,1.000000000000000000e+00
8.692303838077977129e-01,3.147494380421473337e-01,3.353851552254218382e-01,1.000000000000000000e+00
8.741990226925336893e-01,3.091220494082813630e-01,3.386128972798252978e-01,1.000000000000000000e+00
8.790777731085580582e-01,3.034628756694848217e-01,3.418406393342288685e-01,1.000000000000000000e+00
8.838661334041955087e-01,2.977724987235276788e-01,3.450683813886323836e-01,1.000000000000000000e+00
