wt, s1, s2, s, d, c, e
1.885144106564532462e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,9.509982452397487407e-01,9.987998799879971301e-01,-3.082345283077543834e-03
1.892684682990790623e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,9.486397122880882993e-01,9.507950795079498363e-01,8.314356827855723386e-03
1.893313064359645415e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.484407312266914802e-01,9.467946794679473754e-01,8.262797559082414589e-03
1.927874039646661819e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.369222725119806805e-01,7.267726772677267633e-01,5.109680659209301853e-03
1.962435014933678223e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.242848080614527451e-01,5.067506750675079275e-01,1.291650261220773834e-03
1.996995990220694628e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.105434313312259498e-01,2.867286728672873153e-01,-3.252422417104894065e-03
2.032185346876565823e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.954349804767182119e-01,6.270627062706246591e-02,-8.687364034634386875e-03
2.066746322163582228e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.795170349534179310e-01,-1.573157315731563699e-01,-1.487928502129528922e-02
2.101307297450598632e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.625486451875841176e-01,-3.773377337733787584e-01,-2.197619545149978593e-02
2.135868272737615037e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.445500772418695901e-01,-5.973597359735958179e-01,-3.003530800293163425e-02
2.171057629393486454e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.251880441892200935e-01,-8.213821382138206673e-01,-3.928749811056138352e-02
2.171686010762341468e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.248329349779836006e-01,-8.253825382538266808e-01,-3.846266517558339509e-02
2.199334790991954502e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.088877011541163453e-01,-9.985998599859975400e-01,-2.526495144315488075e-03
2.232010622172406311e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.892471442941638715e-01,-7.905790579057896394e-01,3.901888666598323646e-02
2.232639003541261324e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,7.888611147785999922e-01,-7.865786578657836259e-01,3.880774778076182679e-02
2.287936564000487394e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,7.536883360997743697e-01,-4.345434543454338439e-01,1.867963536212700892e-02
2.343862505828568477e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,7.157728229828145272e-01,-7.850785078507982462e-02,-4.931253950442143416e-03
2.399160066287794990e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,6.760823040533900929e-01,2.735273527352752865e-01,-3.169386537269705539e-02
2.455086008115876073e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,6.338390679495863322e-01,6.295629562956293057e-01,-6.240828985442836013e-02
2.455714389484731086e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,6.333529118748214559e-01,6.335633563356353193e-01,-6.177493694255353079e-02
2.513525475419376765e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,5.875818852444947282e-01,9.983998399839961735e-01,-5.619176442378856669e-03
2.550599976181812334e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,5.571856046954285491e-01,7.623762376237621652e-01,2.814013398884297398e-02
2.587674476944248347e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,5.260235498855519998e-01,5.263526352635246042e-01,6.008288266386399568e-02
2.588302858313102917e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,5.254890265627975010e-01,5.223522352235221433e-01,5.960837169042677852e-02
2.624120596337829348e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,4.946847553243802209e-01,2.943294329432930567e-01,3.167103016043841535e-02
2.659938334362555334e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,4.632459157353491785e-01,6.630663066306397013e-02,1.959253072449413432e-03
2.695756072387281321e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,4.312128366968243642e-01,-1.617161716171615637e-01,-2.956196417478998417e-02
2.732202191780862321e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,3.980502338026914999e-01,-3.937393739373931112e-01,-6.352725484736879147e-02
2.732830573149717335e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.974737010456498854e-01,-3.977397739773991248e-01,-6.312978114632314397e-02
2.779959175813830452e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.538025292796125876e-01,-6.977697769776973757e-01,-3.497354329020124081e-02
2.827716159846798583e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.087480502360594459e-01,-9.981998199819983597e-01,-9.814363099342587535e-03
2.891182678101138048e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.478011687951338637e-01,-5.941594159415899412e-01,1.827033605358740695e-02
2.955277577724332083e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.852390098351450465e-01,-1.861186118611861673e-01,4.033166720052313442e-02
2.955905959093186652e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.846214670188858487e-01,-1.821182118211837064e-01,3.951628866754202524e-02
3.005548087232719379e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.356252995858673316e-01,1.339133913391350461e-01,-2.685586413715701157e-02
3.006176468601574392e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.350026975981064858e-01,1.379137913791375070e-01,-2.672086143955890516e-02
3.073413275069042605e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,6.812656964471552890e-02,5.659565956595677960e-01,-1.588278810502738447e-02
3.107345868987204440e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,3.424009064913161038e-02,7.819781978197823946e-01,-1.313556637599832058e-02
3.141278462905365831e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,3.141906792581436545e-04,9.979997999799969932e-01,-1.221947423083429539e-02
3.175211056823527667e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-3.361207102162916405e-02,7.859785978597813028e-01,-1.313556637599832232e-02
3.209143650741689058e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-6.749963479378810749e-02,5.699569956995702569e-01,-1.588278810502739835e-02
3.277008838578012284e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-1.350026975981066801e-01,1.379137913791375070e-01,-2.685586413715702198e-02
3.277637219946866853e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.356252995858670818e-01,1.339133913391350461e-01,-2.599148943674289142e-02
3.327279348086399580e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.846214670188855989e-01,-1.821182118211837064e-01,4.033166720052311360e-02
3.327907729455254593e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.852390098351452408e-01,-1.861186118611861673e-01,4.014642819068797025e-02
3.391374247709594059e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-2.471923371851816875e-01,-5.901590159015910331e-01,1.827033605358739654e-02
3.455469147332788094e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-3.087480502360596124e-01,-9.981998199819983597e-01,-1.012311114957867124e-02
3.502597749996901211e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-3.532147217146031637e-01,-7.017701770177033893e-01,-3.497354329020126856e-02
3.550354734029869341e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-3.974737010456501074e-01,-3.977397739773955720e-01,-6.352725484736883310e-02
