wt, s1, s2, s, d, c, e
3.996505505916808643e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,4.591338160963403525e-01,-4.557455745574556794e-01,3.217555852086792512e-02
4.423804836738102764e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,5.051485632561990569e-01,-1.837183718371839802e-01,1.006728921123438251e-02
4.851104167559396885e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,5.502411266624419595e-01,8.830883088308860707e-02,-1.009466369079830249e-02
5.278403498380690451e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,5.943291867116755611e-01,3.603360336033603062e-01,-2.835149179835655397e-02
5.711986642890533039e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,6.379561645976050688e-01,6.363636363636366866e-01,-4.497534351278791032e-02
5.718270456579082062e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,6.385798196987563236e-01,6.403640364036409238e-01,-4.457411197872864633e-02
6.283813688548441911e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,6.936465841380694552e-01,9.995999599959990434e-01,-6.878956421932223841e-03
6.698545391992638542e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,7.326289188653597462e-01,7.355735573557353746e-01,2.271065470790322935e-02
6.704829205681186455e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,7.332100370940088929e-01,7.315731573157320256e-01,2.254302563039984122e-02
7.031587517485705652e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,7.630238907735129583e-01,5.235523552355232368e-01,1.432490166886707730e-02
7.364629642978773871e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,7.925726172586686769e-01,3.115311531153110991e-01,6.937064022883666047e-03
7.691387954783291958e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.207097209111156033e-01,1.035103510351031986e-01,6.307191986888858364e-04
8.024430080276360178e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.484860901449464698e-01,-1.085108510851089392e-01,-4.866021961660071775e-03
8.351188392080878264e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.748239970860993697e-01,-3.165316531653168397e-01,-9.375327818809882016e-03
8.684230517573946484e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.007071322237519828e-01,-5.285528552855289774e-01,-1.310197019505052879e-02
9.010988829378464571e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.251312254903827359e-01,-7.365736573657359898e-01,-1.593679758641341690e-02
9.344030954871532790e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.490084886386890295e-01,-9.485948594859490157e-01,-1.802204197309678277e-02
9.350314768560080703e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.494489677155574237e-01,-9.525952595259523648e-01,-1.742548559271005909e-02
9.425720532822662312e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.547054246559819601e-01,-9.993999399939985651e-01,-1.024530750935940919e-02
9.488558669708146986e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.590443506490475833e-01,-9.593959395939579693e-01,-4.231702575031045729e-03
9.494842483396694899e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.594761632672075269e-01,-9.553955395539546203e-01,-4.257164452586048413e-03
9.878155118398149748e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.850939463908869875e-01,-7.113711371137112494e-01,-5.306796808404171638e-03
1.026146775339960460e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.009264522215152171e+00,-4.673467346734678785e-01,-5.402637077408448639e-03
1.064478038840106056e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.031952381605171665e+00,-2.233223322332227312e-01,-4.600851513051740400e-03
1.102809302340251429e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.053124193693531607e+00,2.070207020702063971e-02,-2.958925076168011838e-03
1.141140565840397025e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.072748854846808930e+00,2.647264726472648988e-01,-5.355769834789111125e-04
