wt, s1, s2, s, d, c, e
7.502873544126839045e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,6.818489859032952349e-01,2.235223522352232095e-01,8.664039215822240403e-02
8.143822540358780504e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,7.273017673408151973e-01,-1.845184518451850053e-01,5.655441800862349988e-02
8.784771536590720853e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,7.697677022903762767e-01,-5.925592559255932201e-01,3.095234048602438226e-02
9.425720532822662312e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.090723937762559492e-01,-9.993999399939985651e-01,9.520412427024987218e-03
9.802749354135568138e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.306504843258640802e-01,-7.593759375937594314e-01,-1.271285779845383618e-03
1.018606198913702299e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.513777264670668865e-01,-5.153515351535151723e-01,-1.095278107041796831e-02
1.056937462413847895e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.708542045924964059e-01,-2.713271327132700250e-01,-1.940853815499132135e-02
1.095268725913993269e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.890513056938060821e-01,-2.730273027302754230e-02,-2.671575008928160633e-02
1.132971608045284073e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.056760600483508838e-01,2.127212721272133678e-01,-3.285923955973051730e-02
1.171302871545429447e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.212581336451018954e-01,4.567456745674567387e-01,-3.812313388011270149e-02
1.209634135045575043e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.354867815096771233e-01,7.007700770077018859e-01,-4.247836659616208849e-02
1.247965398545720417e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.483411002519726019e-01,9.447944794479452568e-01,-4.600815486801593246e-02
1.248593779914575208e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,9.485402685753386853e-01,9.487948794879486059e-01,-4.405961459944059133e-02
1.256762737709688382e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,9.510953448886929618e-01,9.991999199919980867e-01,-1.871063731456737433e-02
1.263674932767091530e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,9.532077665931260047e-01,9.551955195519550301e-01,2.764127366284049869e-03
1.264303314135946321e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.533975481186806045e-01,9.511951195119507929e-01,2.717524914402730425e-03
1.302634577636091917e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.642595870070733710e-01,7.071707170717065338e-01,2.186590479720209495e-04
1.340965841136237291e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.737050264757258766e-01,4.631463146314640511e-01,-1.661461200566991979e-03
1.379297104636382887e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.817199901740676360e-01,2.191219121912197920e-01,-3.009689193607077273e-03
1.417628368136528483e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.882927032718792359e-01,-2.490249024902624342e-02,-3.913659699575911845e-03
1.455959631636673857e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.934135097577649898e-01,-2.689268926892687261e-01,-4.461660148183345907e-03
