wt, s1, s2, s3, d1, d2, d3, c
5.536039859611177061e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.257563141743986090e-01,-9.995498774479807391e-01,4.737935632735814639e-01,5.243524352435251501e-01
5.542323673299724973e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.262907336698779970e-01,-9.995308282204257155e-01,4.732400945505473300e-01,5.283528352835284991e-01
6.283813688548441911e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.878360882526012521e-01,-9.945153250308942372e-01,4.066792367782925965e-01,9.995999599959990434e-01
6.855640734206349673e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.331097400425447219e-01,-9.869122693221572540e-01,3.538025292796119214e-01,6.355635563556347734e-01
6.861924547894897586e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.335960211851683344e-01,-9.868107428997715536e-01,3.532147217146027751e-01,6.315631563156314243e-01
7.370913456667321784e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.721371125566244498e-01,-9.772968903708043609e-01,3.051597778141795780e-01,3.075307530753077501e-01
7.377197270355869696e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,6.726022501698389888e-01,-9.771635594652253731e-01,3.045613092953859957e-01,3.035303530353035129e-01
9.293760445363145051e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.012467630848550959e-01,-9.187958610167156204e-01,1.175490979318600804e-01,-9.165916591659168944e-01
9.300044259051692963e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.016225868324383663e-01,-9.185476367513691898e-01,1.169250499189304349e-01,-9.205920592059211316e-01
9.425720532822662312e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.090723937762559492e-01,-9.135071157252154794e-01,1.044347219489591139e-01,-9.993999399939985651e-01
9.563964433970727486e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.171195421916666035e-01,-9.077959279658669445e-01,9.067638577420004953e-02,-9.113911391139106755e-01
9.570248247659276508e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.174816227564013493e-01,-9.075321979735090361e-01,9.005057521710731205e-02,-9.073907390739073264e-01
1.092126819069719090e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,8.876085311403590916e-01,-8.426943777378547162e-01,-4.491415340250472232e-02,-4.730473047304695200e-02
1.092755200438573882e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,8.878977874752684851e-01,-8.423558957436131367e-01,-4.554189173165541088e-02,-4.330433043304360297e-02
1.247965398545720417e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.483411002519726019e-01,-7.489192865737784865e-01,-1.994218136781946149e-01,9.447944794479452568e-01
1.248593779914575208e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.485402685753386853e-01,-7.485027347717623236e-01,-2.000375338035766670e-01,9.487948794879486059e-01
1.256762737709688382e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.510953448886929618e-01,-7.430607257675320154e-01,-2.080346191211610296e-01,9.991999199919980867e-01
1.263674932767091530e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.532077665931260047e-01,-7.384172047298095398e-01,-2.147905618633167701e-01,9.551955195519550301e-01
1.264303314135946321e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.533975481186806045e-01,-7.379933136711852582e-01,-2.154042344474958182e-01,9.511951195119507929e-01
1.479209742284303131e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.958088796268792509e-01,-5.771099095879104190e-01,-4.186989700389692759e-01,-4.169416941694183976e-01
1.479838123653157922e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.958661538983668571e-01,-5.765966176764836248e-01,-4.192695362218835098e-01,-4.209420942094208584e-01
1.501203090194222600e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.975793679172075823e-01,-5.590105568302947692e-01,-4.385688110869130907e-01,-5.569556955695560418e-01
1.501831471563077391e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.976228667626267921e-01,-5.584894174645462783e-01,-4.391334492980809578e-01,-5.609560956095602791e-01
1.570953422137110422e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999999876605267790e-01,-4.998639452736494126e-01,-5.001360423868775884e-01,-9.989998999899984966e-01
1.640075372711143231e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.976011665794085603e-01,-4.388511518532643985e-01,-5.587500147261442729e-01,-5.589558955895590486e-01
1.640703754079998022e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,9.975574707781759143e-01,-4.382864270268960194e-01,-5.592710437512798949e-01,-5.549554955495548114e-01
1.661440339252207909e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,9.958946435739575165e-01,-4.195547572446376994e-01,-5.763398863293199836e-01,-4.229422942294220888e-01
1.662068720621062701e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.958375659150667802e-01,-4.189842738106064890e-01,-5.768532921044606798e-01,-4.189418941894196280e-01
1.877603530138274301e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.533027044089158464e-01,-2.150974087721603256e-01,-7.382052956367556318e-01,9.531953195319520233e-01
1.878231911507129093e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.531127346806828049e-01,-2.144836937512528685e-01,-7.386290409294298254e-01,9.571957195719580369e-01
1.885144106564532462e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.509982452397487407e-01,-2.077272922060139915e-01,-7.432709530337349157e-01,9.987998799879971301e-01
1.892684682990790623e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.486397122880882993e-01,-2.003453642611685848e-01,-7.482943480269198533e-01,9.507950795079498363e-01
1.893313064359645415e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.484407312266914802e-01,-1.997296835991211605e-01,-7.487110476275705695e-01,9.467946794679473754e-01
2.048523262466791728e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,8.880422841755685193e-01,-4.585575416816703442e-02,-8.421865300074015126e-01,-4.130413041304059618e-02
2.049151643835646741e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,8.877532031254411482e-01,-4.522802479943949239e-02,-8.425251783260017113e-01,-4.530453045304483339e-02
2.184253638139438181e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,8.176625420001919498e-01,8.973765658899726660e-02,-9.074001985891891886e-01,-9.053905390539060960e-01
2.184882019508293194e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.173006228142702945e-01,9.036348495580566464e-02,-9.076641077700760007e-01,-9.093909390939121096e-01
2.199334790991954502e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.088877011541163453e-01,1.047471893983197705e-01,-9.136348905524360742e-01,-9.985998599859975400e-01
2.211274037000196646e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.018103800162981187e-01,1.166130085835428432e-01,-9.184233885998409619e-01,-9.225922592259223620e-01
2.211902418369051215e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,8.014347145157754149e-01,1.172370797119710178e-01,-9.186717942277464743e-01,-9.185918591859181248e-01
2.403558735869778751e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,6.728347193932346926e-01,3.042620299237063786e-01,-9.770967493169410156e-01,3.015301530153031706e-01
