wt, s1, s2, s3, d1, d2, d3, c
1.090870056332009508e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.046694181217225905e+00,-9.951770051482704549e-01,-5.151717606895594298e-02,-5.530553055305365007e-02
1.091498437700864299e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.047036330699447237e+00,-9.947783818401231271e-01,-5.225794885932468631e-02,-5.130513051305030103e-02
1.256762737709688382e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.122292506968657566e+00,-8.768116564056877005e-01,-2.454808505629700044e-01,9.991999199919980867e-01
1.493662513767964439e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.176491461242337611e+00,-6.669914049017386937e-01,-5.095000563405995830e-01,-5.089508950895087480e-01
1.494290895136819453e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.176548366217330166e+00,-6.663796020211726345e-01,-5.101687641961575315e-01,-5.129512951295129852e-01
1.515027480309029118e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.178165478645206710e+00,-6.460439427555826342e-01,-5.321215358896240755e-01,-6.449644964496439314e-01
1.515655861677884131e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.178206576646321446e+00,-6.454233296984706048e-01,-5.327832469478515076e-01,-6.489648964896499450e-01
1.570953422137110422e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.179999985439421639e+00,-5.898394554229062781e-01,-5.901605300165154722e-01,-9.989998999899984966e-01
1.626250982596336714e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.178186085798546445e+00,-5.324524176994661628e-01,-6.457336680990802824e-01,-6.469646964696469382e-01
1.626879363965191505e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.178144755188336168e+00,-5.317906015509855644e-01,-6.463541536373509366e-01,-6.429642964296427010e-01
1.647615949137401392e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.176519971800380482e+00,-5.098344354327309924e-01,-6.666855363676497115e-01,-5.109510951095117548e-01
1.648244330506256183e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.176462834546016412e+00,-5.091656269527679024e-01,-6.672972075932486202e-01,-5.069506950695075176e-01
1.885144106564532462e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.122177929382903505e+00,-2.451182048030964844e-01,-8.770597245798071873e-01,9.987998799879971301e-01
2.049780025204501754e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.047207250410478352e+00,-5.262832753476227865e-02,-9.945789228757160316e-01,-4.930493049305084696e-02
2.050408406573356324e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.046865307629402109e+00,-5.188756502520024821e-02,-9.949777426042017980e-01,-5.330533053305508417e-02
2.199334790991954502e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,9.544874873618572897e-01,1.236016834900173222e-01,-1.078089170851874501e+00,-9.985998599859975400e-01
2.414241219140311312e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,7.845745129585802724e-01,3.710161728408297166e-01,-1.155590685799409822e+00,3.695369536953716505e-01
2.414869600509165881e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,7.840205110006178701e-01,3.717199840134526312e-01,-1.155740495014070612e+00,3.735373537353723350e-01
